Date,High,Low,Open,Close,Volume,Adj Close
2017-09-05,46900.0,45960.0,46240.0,46760.0,11716100.0,40377.58984375
2017-09-06,47180.0,46700.0,46760.0,47000.0,10811050.0,40584.82421875
2017-09-07,48220.0,47000.0,47000.0,48120.0,9676500.0,41551.9609375
2017-09-08,49180.0,48580.0,48700.0,49080.0,10893000.0,42380.92578125
2017-09-11,50180.0,49500.0,49700.0,49800.0,10374750.0,43002.64453125
2017-09-12,50220.0,49140.0,50200.0,49600.0,12029750.0,42829.94921875
2017-09-13,50400.0,49440.0,49820.0,49620.0,9357000.0,42847.21484375
2017-09-14,50320.0,49760.0,50060.0,50300.0,14204750.0,43434.40625
2017-09-15,50560.0,49860.0,50300.0,50400.0,10757300.0,43520.75
2017-09-18,52480.0,50520.0,50540.0,52480.0,11524950.0,45316.8515625
2017-09-19,52640.0,51780.0,52500.0,52120.0,9850400.0,45005.9765625
2017-09-20,52500.0,51840.0,52120.0,52220.0,9292750.0,45092.33984375
2017-09-21,52960.0,52220.0,52220.0,52800.0,8839800.0,45593.16796875
2017-09-25,53680.0,53000.0,53000.0,53620.0,9303100.0,46301.24609375
2017-09-26,53620.0,53620.0,53620.0,53620.0,0.0,46301.24609375
2017-09-27,52200.0,51500.0,52000.0,51680.0,10797000.0,44626.03515625
2017-09-28,52460.0,51260.0,52260.0,51260.0,12025450.0,44383.59765625
2017-09-29,51620.0,50840.0,51180.0,51280.0,12909400.0,44400.91796875
2017-10-10,53640.0,52800.0,53360.0,52800.0,20519800.0,45717.01171875
2017-10-11,54760.0,53340.0,53600.0,54640.0,13652150.0,47310.1875
2017-10-12,55160.0,54100.0,54840.0,54800.0,13890700.0,47448.71875
2017-10-13,54840.0,53780.0,54540.0,54000.0,12601650.0,46756.04296875
2017-10-16,54860.0,53760.0,53980.0,53920.0,9769950.0,46686.76171875
2017-10-17,55380.0,54000.0,54020.0,54800.0,10607800.0,47448.71875
2017-10-18,55240.0,54040.0,54820.0,54760.0,10110750.0,47414.08203125
2017-10-19,54700.0,52980.0,54700.0,52980.0,12108700.0,45872.86328125
2017-10-20,54100.0,52800.0,52800.0,53840.0,8027050.0,46617.50390625
2017-10-23,54640.0,54000.0,54600.0,54300.0,8311050.0,47015.796875
2017-10-24,54780.0,54040.0,54700.0,54040.0,5806050.0,46790.671875
2017-10-25,54420.0,53700.0,54040.0,53900.0,5882850.0,46669.453125
2017-10-26,53900.0,52400.0,53720.0,52400.0,9776550.0,45370.67578125
2017-10-27,53320.0,52140.0,52400.0,53080.0,7392500.0,45959.45703125
2017-10-30,54320.0,53700.0,53780.0,54040.0,8196150.0,46790.671875
2017-10-31,55440.0,53500.0,54060.0,55080.0,13381550.0,47691.16015625
2017-11-01,57500.0,56180.0,57500.0,57220.0,14510250.0,49544.078125
2017-11-02,57520.0,56760.0,57500.0,57060.0,10721050.0,49405.54296875
2017-11-03,57140.0,55860.0,57060.0,56380.0,9935800.0,48816.765625
2017-11-06,56500.0,55340.0,56380.0,56380.0,9000950.0,48816.765625
2017-11-07,56920.0,55860.0,56380.0,56100.0,7464550.0,48574.3359375
2017-11-08,57060.0,55860.0,56100.0,56760.0,8520200.0,49145.79296875
2017-11-09,56920.0,55900.0,56920.0,56340.0,11994050.0,48782.1328125
2017-11-10,56540.0,55780.0,55800.0,56400.0,6748800.0,48834.0859375
2017-11-13,56800.0,56100.0,56400.0,56380.0,8806650.0,48816.765625
2017-11-14,56740.0,55920.0,56380.0,55920.0,6725000.0,48418.4765625
2017-11-15,56320.0,55320.0,55920.0,55340.0,8816950.0,47916.2734375
2017-11-16,56000.0,55400.0,55440.0,55780.0,7640700.0,48297.265625
2017-11-17,56880.0,55820.0,56400.0,55820.0,10733150.0,48331.890625
2017-11-20,55980.0,55200.0,55900.0,55200.0,9472750.0,47795.0625
2017-11-21,55840.0,55280.0,55400.0,55280.0,10324700.0,47864.32421875
2017-11-22,56200.0,55620.0,55980.0,55960.0,7952950.0,48453.109375
2017-11-23,55980.0,55020.0,55960.0,55300.0,6272900.0,47881.6484375
2017-11-24,55500.0,55180.0,55300.0,55460.0,4536200.0,48020.18359375
2017-11-27,55360.0,52640.0,55360.0,52640.0,18128900.0,45578.4765625
2017-11-28,53280.0,51720.0,52700.0,53280.0,13499400.0,46132.625
2017-11-29,53240.0,52500.0,53200.0,52600.0,9590250.0,45543.84765625
2017-11-30,51860.0,50200.0,50800.0,50800.0,29634150.0,43985.31640625
2017-12-01,51780.0,50800.0,50800.0,50840.0,12868600.0,44019.94921875
2017-12-04,51340.0,50020.0,50840.0,51340.0,14865050.0,44452.875
2017-12-05,51300.0,50280.0,50600.0,51260.0,9326550.0,44383.59765625
2017-12-06,51560.0,50020.0,51260.0,50020.0,10889200.0,43309.9453125
2017-12-07,50980.0,50020.0,50040.0,50740.0,11065600.0,43933.359375
2017-12-08,52000.0,51040.0,51360.0,52000.0,11290450.0,45024.33203125
2017-12-11,52040.0,51500.0,52000.0,51780.0,8125850.0,44833.84375
2017-12-12,52100.0,51660.0,51820.0,52100.0,8765050.0,45110.9140625
2017-12-13,52100.0,51100.0,52100.0,51320.0,11333700.0,44435.5546875
2017-12-14,52280.0,51060.0,51320.0,51060.0,20310400.0,44210.42578125
2017-12-15,51480.0,50520.0,51240.0,50620.0,14928550.0,43829.45703125
2017-12-18,51240.0,50620.0,50620.0,51200.0,7350250.0,44331.64453125
2017-12-19,52080.0,51520.0,51540.0,51560.0,11978600.0,44643.359375
2017-12-21,51060.0,49100.0,51000.0,49140.0,15624300.0,42547.9921875
2017-12-22,49960.0,49240.0,49400.0,49700.0,11199650.0,43032.8671875
2017-12-26,50100.0,48200.0,49760.0,48200.0,16039850.0,41734.09765625
2017-12-27,49560.0,48460.0,48960.0,49360.0,10743600.0,43123.1953125
2017-12-28,50960.0,49500.0,49560.0,50960.0,8985450.0,44521.02734375
2018-01-02,51400.0,50780.0,51380.0,51020.0,8474250.0,44573.4453125
2018-01-03,52560.0,51420.0,52540.0,51620.0,10013500.0,45097.63671875
2018-01-04,52180.0,50640.0,52120.0,51080.0,11695450.0,44625.85546875
2018-01-05,52120.0,51200.0,51300.0,52120.0,9481150.0,45534.44921875
2018-01-08,52520.0,51500.0,52400.0,52020.0,8383650.0,45447.08984375
2018-01-09,51720.0,49980.0,51460.0,50400.0,18013600.0,44031.78515625
2018-01-10,50520.0,48640.0,50500.0,48840.0,18566800.0,42668.89453125
2018-01-11,49260.0,48020.0,48200.0,48240.0,25123800.0,42144.703125
2018-01-12,48480.0,46760.0,48240.0,48200.0,27270450.0,42109.76171875
2018-01-15,48980.0,47920.0,48800.0,48540.0,10096000.0,42406.796875
